bound,L_1,L_2,L,W_1,W_2,W,Q_boundary,P_hit_boundary
2,0.3076923076923077,0.20118343195266275,0.5088757396449705,0.8980058722650952,0.923413622038314,0.9064751221895014,0.5522682445759369,1.0543815159199774
3,0.4903169683458732,0.42080088782636305,0.9111178561722363,1.1592615459022615,1.296324957902534,1.2049493499023523,0.30818804312354586,0.3913457350451389
4,0.5980397190769193,0.5876967800033497,1.1857364990802686,1.3613692693282415,1.5456582168941968,1.4227989185168932,0.18887226663893955,0.20940730634686813
5,0.6547004793597174,0.7011838250064255,1.3558843043661428,1.4808908454295309,1.685372867708577,1.5490515195225463,0.12096854877955414,0.11434461730935251
6,0.6828006550621362,0.7752888626234787,1.4580895176856141,1.5392050455230992,1.7525003288525218,1.6103034732995734,0.07873373956192235,0.06442542806239321
7,0.6964469744088335,0.8231201037792115,1.519567078188045,1.5622193692663426,1.7794711683670639,1.6346366356332496,0.05144366689713576,0.037425001152895446
8,0.7030836263946447,0.8539454694684825,1.5570290958631268,1.5678801944378868,1.7869489510816268,1.6409031133191334,0.033571741006426195,0.02224366434631623
9,0.7063666961601959,0.8738270594084059,1.5801937555686014,1.5662709639966743,1.7861841969190795,1.6395753749708093,0.02183638178810081,0.01342054927155701
10,0.708038662873765,0.8866556135804112,1.594694276454176,1.562360311963292,1.7826660653852844,1.6357955631039562,0.014145208539599309,0.008171918969140475
